City,State,latitude,longitude,COUNTY,COUNTY NAME,DISTRICT NUMBER,DISTRICT NAME,PK,KG,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Total K12,Total PK12,Hispanic Male,Hispanic Female,Hispanic Total,Native American Male,Native American Female,Native American Total,Asian Male,Asian Female,Asian Total,Black Male,Black Female,Black Total,Pacific Islander Male,Pacific Islander Female,Pacific Islander Total,White Male,White Female,White Total,Multi-Race Male,Multi-Race Female,Multi-Race Total,Total Male,Total Female
Conrad,IA,42.226174,-93.607162,38,Grundy,540,BCLUW,38,32,32,31,45,39,48,52,44,39,52,45,35,61,555,593,14,6,20,0,0,0,1,2,3,0,0,0,6,3,9,255,285,540,11,10,21,287,306
Bedford,IA,40.666932,-92.677415,87,Taylor,549,Bedford,41,58,38,34,30,28,38,31,41,32,29,30,36,29,454,495,4,3,7,0,0,0,0,0,0,3,0,3,0,0,0,260,216,476,7,2,9,274,221
Belle Plaine,IA,41.896748,-92.536296,6,Benton,576,Belle Plaine,28,36,39,40,33,32,26,34,24,42,46,39,44,49,484,512,3,3,6,1,1,2,1,6,7,2,2,4,1,0,1,241,235,476,10,6,16,259,253
Bellevue,IA,42.258627,-95.002767,49,Jackson,585,Bellevue,114,62,41,39,44,42,48,45,55,53,55,60,68,60,672,786,6,4,10,0,0,0,1,0,1,5,6,11,0,0,0,392,350,742,10,12,22,414,372
Belmond,IA,42.846202,-93.31227,99,Wright,594,Belmond-Klemme,48,48,40,41,56,46,70,59,50,67,63,61,51,41,693,741,94,86,180,0,0,0,0,2,2,7,8,15,0,0,0,283,245,528,8,8,16,392,349
Bennett,IA,41.740302,-91.785709,16,Cedar,603,Bennett,7,11,8,11,4,15,12,8,0,0,0,0,0,0,69,76,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,31,41,72,1,1,2,33,43
Benton,IA,40.703324,-93.221037,6,Benton,609,Benton,174,117,111,96,99,113,105,111,117,105,135,127,99,110,1445,1619,17,15,32,2,2,4,1,2,3,9,9,18,0,0,0,771,769,1540,10,12,22,810,809
Bettendorf,IA,41.56049,-90.47859,82,Scott,621,Bettendorf,311,320,319,299,350,353,357,353,365,384,390,383,383,394,4650,4961,263,234,497,5,10,15,60,53,113,192,182,374,0,1,1,1879,1794,3673,147,141,288,2546,2415
Eddyville,IA,41.157248,-95.598613,90,Wapello,657,Eddyville-Blakesburg-Fremont,66,84,74,78,73,76,70,69,78,64,85,82,71,84,988,1054,18,14,32,1,0,1,3,3,6,1,1,2,0,0,0,511,485,996,12,5,17,546,508
Bondurant,IA,41.700544,-91.141934,77,Polk,720,Bondurant-Farrar,137,206,176,166,180,196,177,185,176,171,157,138,141,130,2199,2336,61,56,117,2,2,4,12,15,27,18,26,44,2,3,5,1113,955,2068,48,23,71,1256,1080
Boone,IA,42.059705,-94.414684,8,Boone,729,Boone,110,157,106,110,120,137,154,158,160,151,165,148,158,177,1901,2011,50,58,108,9,5,14,5,3,8,16,19,35,0,0,0,930,841,1771,37,38,75,1047,964
Boyden,IA,43.190935,-94.255242,84,Sioux,747,Boyden-Hull,66,50,36,40,32,42,39,40,54,54,55,61,51,55,609,675,86,86,172,0,0,0,2,0,2,1,0,1,0,0,0,261,232,493,2,5,7,352,323
West Hancock,IA,41.389992,-94.669147,41,Hancock,819,West Hancock,52,49,32,42,37,42,37,42,43,44,54,42,49,34,547,599,48,49,97,0,0,0,1,1,2,4,6,10,0,0,0,247,230,477,5,8,13,305,294
Brooklyn,IA,41.733609,-95.973351,79,Poweshiek,846,Brooklyn-Guernsey-Malcom,38,52,39,31,54,42,51,43,32,47,37,37,42,47,554,592,14,19,33,0,0,0,1,1,2,4,1,5,1,0,1,267,276,543,5,3,8,292,300
Buffalo Center,IA,43.3858,93.9466,95,Winnebago,873,North Iowa,55,48,33,43,35,43,30,31,30,29,32,23,41,33,451,506,21,36,57,1,1,2,0,1,1,1,1,2,0,0,0,244,195,439,3,2,5,270,236
Burlington,IA,40.807539,-92.905753,29,Des Moines,882,Burlington,185,268,246,278,252,278,279,298,274,236,262,270,268,255,3464,3649,109,99,208,4,8,12,16,11,27,326,291,617,1,1,2,1216,1180,2396,181,206,387,1853,1796
Anita,IA,41.445265,-94.899153,15,Cass,914,CAM,34,48,43,49,53,63,50,71,75,101,99,114,155,166,1087,1121,21,29,50,1,4,5,2,8,10,11,10,21,2,3,5,466,521,987,17,26,43,520,601
Latimer,IA,42.762347,-93.603715,35,Franklin,916,CAL,38,25,16,16,17,14,9,17,0,0,0,0,0,0,114,152,26,38,64,0,0,0,0,0,0,0,0,0,0,0,0,40,48,88,0,0,0,66,86
Calamus,IA,41.825859,-95.293052,23,Clinton,918,Calamus-Wheatland,18,33,24,31,34,33,44,36,41,30,29,35,35,48,453,471,3,4,7,0,1,1,1,0,1,0,1,1,0,0,0,238,213,451,0,10,10,242,229
Camanche,IA,41.788086,-96.35864,23,Clinton,936,Camanche,33,81,59,66,70,82,64,75,72,86,70,83,72,69,949,982,25,17,42,0,1,1,2,2,4,4,7,11,0,0,0,450,438,888,19,17,36,500,482
Eldon,IA,40.91863,-93.31227,90,Wapello,977,Cardinal,120,84,82,82,72,60,69,70,69,57,62,58,64,53,882,1002,21,23,44,1,0,1,4,1,5,7,9,16,1,0,1,428,482,910,12,13,25,474,528
Carlisle,IA,41.500823,-95.75196,91,Warren,981,Carlisle,137,179,145,130,167,158,191,188,163,172,151,156,157,169,2126,2263,70,68,138,2,2,4,39,38,77,18,19,37,1,1,2,980,962,1942,29,34,63,1139,1124
Carroll,IA,42.065159,-93.498825,14,Carroll,999,Carroll,200,143,117,139,115,134,139,138,152,139,134,128,115,112,1705,1905,41,57,98,4,0,4,6,4,10,40,30,70,0,0,0,892,783,1675,24,24,48,1007,898
Cedar Falls,IA,42.527412,-91.864048,7,Black Hawk,1044,Cedar Falls,193,432,429,415,415,428,428,464,418,404,440,379,382,387,5421,5614,68,86,154,3,6,9,102,95,197,104,118,222,6,7,13,2465,2256,4721,157,141,298,2905,2709
Cedar Rapids,IA,41.975887,-91.671266,57,Linn,1053,Cedar Rapids,965,1277,1174,1163,1210,1205,1209,1166,1125,1149,1295,1319,1261,1199,15752,16717,622,569,1191,32,25,57,166,170,336,1609,1485,3094,46,44,90,5448,5051,10499,726,724,1450,8649,8068
Center Point,IA,42.190827,-92.884931,57,Linn,1062,Center Point-Urbana,99,116,96,94,113,116,107,123,132,111,120,117,132,102,1479,1578,19,14,33,2,1,3,2,0,2,8,4,12,1,0,1,747,727,1474,33,20,53,812,766
Centerville,IA,40.73418,-94.289688,4,Appanoose,1071,Centerville,85,104,118,100,93,108,108,88,95,95,96,119,105,95,1324,1409,23,20,43,3,2,5,6,8,14,13,9,22,0,4,4,696,619,1315,3,3,6,744,665
Donnellson,IA,40.642815,-93.31227,56,Lee,1079,Central Lee,53,100,78,91,93,90,82,91,75,90,84,72,77,81,1104,1157,11,14,25,0,1,1,2,2,4,4,3,7,2,0,2,552,536,1088,15,15,30,586,571
Elkader,IA,42.853874,-93.31227,22,Clayton,1080,Central,25,39,19,23,30,20,37,33,41,37,31,31,32,32,405,430,3,6,9,0,0,0,1,1,2,0,0,0,0,0,0,198,215,413,4,2,6,206,224
DeWitt,IA,41.824102,-92.021343,23,Clinton,1082,Central DeWitt,109,118,108,102,106,106,117,116,105,124,125,126,136,125,1514,1623,34,29,63,3,0,3,4,3,7,29,19,48,0,1,1,765,689,1454,24,23,47,859,764
Central City,IA,42.203883,-91.661307,57,Linn,1089,Central City,53,31,25,36,33,21,33,35,34,30,33,33,33,39,416,469,6,1,7,1,0,1,1,4,5,3,3,6,0,0,0,203,241,444,4,2,6,218,251
Decatur,IA,40.742453,-92.04712,27,Decatur,1093,Central Decatur,60,52,36,39,45,54,59,60,53,63,55,49,33,50,648,708,5,7,12,0,0,0,0,0,0,2,2,4,0,0,0,356,335,691,1,0,1,364,344
Inwood,IA,43.307926,-93.31227,60,Lyon,1095,Central Lyon,46,69,53,61,56,59,57,60,69,59,53,56,54,45,751,797,25,21,46,1,2,3,0,0,0,1,1,2,0,0,0,409,328,737,4,5,9,440,357
Chariton,IA,41.014751,-93.318823,59,Lucas,1107,Chariton,63,88,78,98,86,91,107,109,90,90,95,84,102,97,1215,1278,27,21,48,1,3,4,6,7,13,0,2,2,0,0,0,638,558,1196,9,6,15,681,597
Charles City,IA,43.066361,-92.445318,34,Floyd,1116,Charles City,89,105,104,93,78,95,123,112,143,135,120,133,141,124,1506,1595,62,50,112,3,4,7,19,28,47,84,100,184,1,0,1,600,580,1180,30,34,64,799,796
Charter Oak,IA,42.068322,-93.31227,24,Crawford,1134,Charter Oak-Ute,35,16,24,17,26,20,18,28,18,12,0,0,0,0,179,214,7,3,10,0,0,0,1,0,1,0,1,1,0,0,0,101,98,199,2,1,3,111,103
Cherokee,IA,42.749428,-92.912339,18,Cherokee,1152,Cherokee,69,117,89,71,85,91,84,83,84,87,81,76,74,66,1088,1157,40,48,88,1,1,2,6,7,13,9,8,17,0,0,0,496,505,1001,19,17,36,571,586
Clarinda,IA,40.739016,-93.31227,73,Page,1197,Clarinda,37,95,74,79,77,80,85,80,91,96,98,113,119,94,1181,1218,38,25,63,9,10,19,8,8,16,38,19,57,0,0,0,541,469,1010,30,23,53,664,554
Clarion,IA,42.731339,-93.732208,99,Wright,1206,Clarion-Goldfield-Dows,96,78,75,55,67,63,71,71,80,69,67,71,61,79,907,1003,175,153,328,1,0,1,4,0,4,0,3,3,0,0,0,321,322,643,11,13,24,512,491
Osceola,IA,41.034021,-93.31227,20,Clarke,1211,Clarke,65,110,92,87,113,107,114,108,111,107,98,100,89,104,1340,1405,240,218,458,0,0,0,7,0,7,8,3,11,5,1,6,483,408,891,13,19,32,756,649
Clarksville,IA,42.7847,-92.667691,12,Butler,1215,Clarksville,34,25,21,21,26,19,22,25,25,19,20,22,24,20,289,323,3,2,5,0,0,0,1,0,1,0,0,0,0,0,0,160,153,313,4,0,4,168,155
Everly,IA,43.159971,-95.327501,21,Clay,1218,Clay Central-Everly,17,9,15,14,12,14,16,14,14,14,21,20,13,28,204,221,2,4,6,0,0,0,1,0,1,1,6,7,3,0,3,100,103,203,1,0,1,108,113
