Name,County1,County2,County3,State,PM_Salary,Latitude,Longitude
Truckee,Nevada,,,CA,430,39.33,-120.18
Washington,Nevada,,,CA,86,39.36,-120.80
You Bet,Nevada,,,CA,64,39.21,-120.90
Anaheim,Orange,Los Angeles,,CA,220,33.83,-117.93
Capistrano,Orange,Los Angeles,,CA,7,34.22,-118.62
Santa Ana,Orange,Los Angeles,,CA,12,33.84,-117.85
Alta,Placer,,,CA,12,39.21,-120.81
Auburn,Placer,,,CA,410,38.90,-121.07
Bath,Placer,,,CA,71,39.04,-120.79
Blue Canyon,Placer,,,CA,31,39.26,-120.71
Butcher Ranch,Placer,,,CA,20,38.96,-120.95
Cisco,Placer,,,CA,12,39.30,-120.55
Clipper Gap,Placer,,,CA,23,38.97,-121.02
Colfax,Placer,,,CA,500,39.10,-120.96
Dutch Flat,Placer,,,CA,760,39.21,-120.84
Emigrant Gap,Placer,,,CA,10,39.30,-120.67
Forest Hill,Placer,,,CA,190,39.02,-120.82
Gold Run,Placer,,,CA,200,39.18,-120.86
Iowa Hill,Placer,,,CA,150,39.11,-120.84
Lincoln,Placer,,,CA,210,38.89,-121.29
Loomis,Placer,,,CA,55,38.82,-121.19
Michigan Bluff,Placer,,,CA,160,39.04,-120.74
Newcastle,Placer,,,CA,200,38.87,-121.13
Rocklin,Placer,,,CA,150,38.79,-121.24
Roseville,Placer,,,CA,61,38.75,-121.29
Sheridan,Placer,,,CA,21,38.98,-121.38
Tahoe,Placer,,,CA,15,39.17,-120.14
Todd's Valley,Placer,,,CA,35,39.00,-120.85
Yankee Jim's,Placer,,,CA,38,39.03,-120.86
Beckwith,Plumas,,,CA,12,39.82,-120.38
Bucks,Plumas,,,CA,12,39.87,-121.18
Buckeye Ranch,Plumas,,,CA,12,39.80,-121.30
Crescent Mills,Plumas,,,CA,12,40.10,-120.91
Durham,Butte,Plumas,,CA,35,39.65,-121.80
Greenville,Plumas,,,CA,12,40.14,-120.95
Jamison,Plumas,,,CA,12,39.74,-120.70
La Porte,Plumas,Sierra,,CA,340,39.68,-120.98
Longville,Plumas,,,CA,16,40.15,-121.24
Meadow Valley,Plumas,,,CA,38,39.93,-121.06
Mohawk,Plumas,,,CA,12,39.78,-120.64
Nelson Point,Plumas,,,CA,12,39.86,-120.85
Prattville,Plumas,,,CA,12,40.21,-121.16
Quincy,Plumas,,,CA,180,39.94,-120.95
Round Valley,Plumas,,,CA,16,40.12,-120.97
Sawpit,Plumas,,,CA,44,39.80,-120.88
Spanish Ranch,Plumas,,,CA,52,39.95,-121.06
Taylorsville,Plumas,,,CA,150,40.07,-120.84
Vinton,Plumas,,,CA,49,39.80,-120.18
Rincon,Riverside,San Bernardino,,CA,12,33.29,-116.96
Riverside,Riverside,San Bernardino,,CA,12,33.95,-117.40
San Jacinto,Riverside,San Diego,,CA,12,33.77,-116.96
Temecula Station,Riverside,San Diego,,CA,12,33.50,-117.15
Arno,Sacramento,,,CA,68,38.33,-121.31
Perkins,Sacramento,,,CA,71,38.54,-121.34
Cosumne,Sacramento,,,CA,35,38.49,-121.17
Courtland,Sacramento,,,CA,27,38.33,-121.57
Elk Grove,Sacramento,,,CA,41,38.41,-121.37
